,ef_id,category_ipcc_1996,category_ipcc_2006,gas,description,region,value_original,unit_original,value_canonical,unit_canonical,equation,technical_reference,source_of_data,data_provider
18122,425449,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Dry Matter Intake (DMI),India,4.65 - 4.93,kg DMI/day,,,"Equation 10.21A, (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18123,425450,"4A2 - Buffalo
4B2 - Buffalo
","3.A.1.b - Buffalo
3.A.2.b - Buffalo
","METHANE
NITROUS OXIDE
",Average weight gain (WG),India,0.47,kg/day,,,"Equations 10.6, 10.33 (2006 Guidelines and 2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18124,425451,"4A2 - Buffalo
4B2 - Buffalo
","3.A.1.b - Buffalo
3.A.2.b - Buffalo
","METHANE
NITROUS OXIDE
",Average weight gain (WG),India,0.53,kg/day,,,"Equations 10.6, 10.33 (2006 Guidelines and 2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18125,425452,"4A2 - Buffalo
4B2 - Buffalo
","3.A.1.b - Buffalo
3.A.2.b - Buffalo
","METHANE
NITROUS OXIDE
",Average weight gain (WG),India,0.63,kg/day,,,"Equations 10.6, 10.33 (2006 Guidelines and 2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18126,425453,"4A2 - Buffalo
4B2 - Buffalo
","3.A.1.b - Buffalo
3.A.2.b - Buffalo
","METHANE
NITROUS OXIDE
",Net Energy Concentration (NEma or NEmf),India,7.9 - 10.3,MJ/kg d.m.,,,"Equations 10.17, 10.18a, 10.18b (2006 Guidelines) Equations 10.17, 10.18 (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18127,425454,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",Crude protein in diet,India,79.2 - 142,g/kg DM,,,Equation 10.32 (2006 Guidelines) Equations 10.32 and 10.32a (2019 Refinement),"V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18128,425455,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N intake in young buffalo,India,58.8,g N animal-1 day-1,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18129,425456,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N intake in young buffalo,India,93,g N animal-1 day-1,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18130,425457,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N intake in diet in young buffalo,India,118,g N animal-1 day-1,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18131,425458,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N Retention in young buffalo,India,28.2,% of N intake,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18132,425459,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N Retention in young buffalo,India,23.4,% of N intake,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18133,425460,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N Retention in young buffalo,India,21.9,% of N intake,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","V.M. Nampoothiri, M. Mohini, B.A. Malla, G. Mondal, S. Pandita. 2018. Growth performance, and enteric and manure greenhouse gas emissions from Murrah calves fed diets with different forage to concentrate ratios Animal Nutrition 4: 215-221.",Peer-reviewed journal,"Niveta Jain, India"
18134,425461,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Emission factor for growing yearling male buffalo calves enteric fermentation,India,88.7,g/head/day,,,Equation 10.19 (2006 IPCC Guidelines) Equation 10.19update (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18135,425462,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Emission factor for growing yearling male buffalo calves enteric fermentation,India,104.6,g/head/day,,,Equation 10.19 (2006 IPCC Guidelines) Equation 10.19update (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18136,425463,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Emission factor for growing yearling male  buffalo calves enteric fermentation,India,89.4,g/head/day,,,Equation 10.19 (2006 IPCC Guidelines) Equation 10.19update (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18137,425464,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Methane yeild,India,20.9,g CH4/kg DMI,,,Equation 10.21A (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18138,425465,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Methane yeild,India,25.1,g CH4/kg DMI,,,Equation 10.21A (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18139,425466,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Methane yeild,India,20.7,g CH4/kg DMI,,,Equation 10.21A (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18140,425467,"4B2 - Buffalo
","3.A.2.b - Buffalo
","NITROUS OXIDE
",Crude Protein in diet,India,19.92 - 20.76,%,,,Equation 10.32 (2006 Guidelines) Equations 10.32 and 10.32a (2019 Refinement),"S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18141,425468,"4A2 - Buffalo
4B2 - Buffalo
","3.A.1.b - Buffalo
3.A.2.b - Buffalo
","METHANE
NITROUS OXIDE
",Net Energy Concentration (NEma or NEmf),India,12.71 - 13.19,MJ/kg d.m.,,,"Equations 10.17, 10.18a, 10.18b (2006 Guidelines) Equations 10.17, 10.18 (2019 Refinement)","S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18142,425469,"4A2 - Buffalo
4B4 - Goats
","3.A.1.b - Buffalo
3.A.2.b - Buffalo
","METHANE
NITROUS OXIDE
",Average body weight,India,146 - 154,kg,,,"Ch. 10, Vol. 4 of the 2006 IPCC Guidelines","S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18143,425470,"4B5 - Camels and Llamas
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N intake,India,121.3 - 122.8,g N animal-1 day-1,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18144,425471,"4B6 - Horses
","3.A.2.b - Buffalo
","NITROUS OXIDE
",N retention,India,26.8 - 28.6,% of N intake,,,"Equations 10.31 (2006 Guidelines) Equations 10.31, 10.31A (2019 Refinement)","S. Prusty, S. Kundu, V.K. Sharma. 2017. Nutrient utilization and methane emissions in Murrah buffalo calves fed on diets with different methanogenic potential. Livestock science 202, pp. 89-95.",Peer-reviewed journal,IPCC TFI TSU
18193,525520,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-1 - Settlements Remaining Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.C.1.a - Burning in Forest Land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.4.b.iii - Land converted to other wetlands
3.B.5.b.i - Forest Land converted to Settlements
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Aboveground Biomass,"Spatial boundaries: Asia, India, Tamil Nadu (geographic coordinates: 11.5989, 76.5338); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature 22.7 degrees C; Moisture: annual precipitation: 1255 mm yr-1",174.23,tonnes dry matter/ha,,,"Equations 2.14, 2.16 and 2.27, Vol. 4 of the 2006 IPCC Guidelines","Chave, J., Condit, R., Muller-Landau, H. C., Thomas, S. C., Ashton, P. S., Bunyavejchewin, S., ... Losos, E. C. (2008). Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities. PLoS Biology, 6(3), e45. doi:10.1371/journal.pbio.0060045",Peer-reviewed journal,"ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution), United States of America"
18194,525521,"5-FL-1 - Forest Land Remaining Forest Land
","3.B.1.a - Forest land Remaining Forest land
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Aboveground Biomass Increment,"Spatial boundaries: Asia, India, Tamil Nadu (geographic coordinates: 11.5989, 76.5338); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature 22.7 degrees C; Moisture: annual precipitation: 1255 mm yr-1",1.26,tonnes dm/ha/year,,,"Equation 2.8, Chapter 2, Volume 4 of the 2006 IPCC Guidelines","Chave, J., Condit, R., Muller-Landau, H. C., Thomas, S. C., Ashton, P. S., Bunyavejchewin, S., ... Losos, E. C. (2008). Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities. PLoS Biology, 6(3), e45. doi:10.1371/journal.pbio.0060045",Peer-reviewed journal,"ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution), United States of America"
18208,525535,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-1 - Settlements Remaining Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.C.1.a - Burning in Forest Land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.4.b.iii - Land converted to other wetlands
3.B.5.b.i - Forest Land converted to Settlements
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Aboveground Biomass,"Spatial boundaries:  North America, United States of America, Indiana (geographic coordinates: 39.2359, -86.2181); Climate: ; Ecological zone: Temperate continental forest; Temperature:  mean annual temperature 11.6 degrees C; Moisture: annual precipitation 1203 mm yr-1.",214.0,tonnes dry matter/ha,,,"Equations 2.14, 2.16 and 2.27, Vol. 4 of the 2006 IPCC Guidleines","Lutz, J. A., Furniss, T. J., Johnson, D. J., Davies, S. J., Allen, D., Alonso, A., ... Becker, K. M. L. (2018). Global importance of large-diameter trees. Global Ecology and Biogeography, 27(7), 849-864. doi:10.1111/geb.12747",Peer-reviewed journal,"ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution), United States of America"
18211,525538,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-1 - Settlements Remaining Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.C.1.a - Burning in Forest Land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.4.b.iii - Land converted to other wetlands
3.B.5.b.i - Forest Land converted to Settlements
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Aboveground Biomass,"Spatial boundaries:  Asia, India, Tamil Nadu (geographic coordinates: 11.5989, 76.5338); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: 22.7 degrees C; Moisture: annual precipitation: 1255 mm yr-1.",204.7,tonnes dry matter/ha,,,"Equations 2.14, 2.16 and 2.27, Vol. 4 of the 2006 IPCC Guidleines","Lutz, J. A., Furniss, T. J., Johnson, D. J., Davies, S. J., Allen, D., Alonso, A., ... Becker, K. M. L. (2018). Global importance of large-diameter trees. Global Ecology and Biogeography, 27(7), 849-864. doi:10.1111/geb.12747",Peer-reviewed journal,"ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution), United States of America"
18238,125565,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","CARBON DIOXIDE
",Fugitive emissions from underground mining activities Average (weighted based on coal production),"Measurements were carried out on 81 degree-I mines.  These mines were located in different coalfields within eastern and central India. The coalfields within these measurements were: Raniganj, Jharia, East-Bokaro, Mand-Raigarh, Pranhita Godavari, Sohagpur, Ib Valley, Pench-Kannan, Bisrampur, Johilla and Hasdeo, India. ""Degree-I"" underground seam refers to a coal seams in which the percentage of methane in the general body of air does not exceed 0.1 and the rate of emission of methane does not exceed one cubic meter per tonne of coal produced. (Reg 2(12A), Coal Mines Regulations, 1957, DGMS, India).",13.76,m3/tonne of coal,,,,"Singh A.K., Singh U., Panigrahi D.C., Singh J. (2021). Updated emission inventory of underground coal mining activities based on 2019 IPCC Refinement, PMRC Working Paper: 01/2021",Other,"Dr. Ajay Kumar Singh, India"
18241,125568,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Fugitive methane emissions from underground coal mining activities from Degree-I mines. Average (weighted based on coal production),"Measurements were carried out on 81 degree-I mines.  These mines were located in different coalfields within eastern and central India. The coalfields within these measurements were: Raniganj, Jharia, East-Bokaro, Mand-Raigarh, Pranhita Godavari, Sohagpur, Ib Valley, Pench-Kannan, Bisrampur, Johilla and Hasdeo, India. ""Degree-I"" underground seam refers to a coal seams in which the percentage of methane in the general body of air does not exceed 0.1 and the rate of emission of methane does not exceed one cubic meter per tonne of coal produced. (Reg 2(12A), Coal Mines Regulations, 1957, DGMS, India).",0.86,m3/tonne of coal,,,,"Singh A.K., Singh U., Panigrahi D.C., Singh J. (2021). Updated emission inventory of underground coal mining activities based on 2019 IPCC Refinement, PMRC Working Paper: 01/2021",Other,"Dr. Ajay Kumar Singh, India"
18526,525853,"5-FL - Forest Land
","3.B.1 - Forest land
","CARBON DIOXIDE
",Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"country: India; state/province/region: Andaman and Nicobar Islands; geographic coordinates: 12.5, 92.75; continent: Asia; annual precipitation: 3180 mm yr-1",7.1,tonnes dm/ha/year,,,Equation 2.18,"Mall, L. P., V. P. Singh & A. Garge, 1991. Study of biomass, litterfall, litter decomposition and soil respiration in monogeneric and mixed mangrove forests of Andaman Islands. Trop. Ecol. 32: 144Ð152.",Peer-reviewed journal,TFI TSU
18527,525854,"5-FL - Forest Land
","3.B.1 - Forest land
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Biomass (biomass),"country: India; state/province/region: Andaman and Nicobar Islands; geographic coordinates: 12.5, 92.75; continent: Asia; annual precipitation: 3180 mm yr-1",124.0,tonnes dry matter/ha,,,"Equations 2.14, 2.16, 2.27","Mall, L. P., V. P. Singh & A. Garge, 1991. Study of biomass, litterfall, litter decomposition and soil respiration in monogeneric and mixed mangrove forests of Andaman Islands. Trop. Ecol. 32: 144Ð152.",Peer-reviewed journal,TFI TSU
18528,525855,"5-FL - Forest Land
","3.B.1 - Forest land
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Biomass: root component (biomass_root),"country: India; state/province/region: Andaman and Nicobar Islands; geographic coordinates: 12.5, 92.75; continent: Asia; annual precipitation: 3180 mm yr-1",30.5,tonnes dry matter/ha,,,"Equations 2.14, 2.16","Mall, L. P., V. P. Singh & A. Garge, 1991. Study of biomass, litterfall, litter decomposition and soil respiration in monogeneric and mixed mangrove forests of Andaman Islands. Trop. Ecol. 32: 144Ð152.",Peer-reviewed journal,TFI TSU
18588,525915,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-FL-2 - Land Converted to Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-2 - Land Converted to Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.B.1.b - Land Converted to Forest land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.5.b.i - Forest Land converted to Settlements
3.B.4.b - Land Converted to Wetlands
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Aboveground Biomass (biomass_ag),"Spatial boundaries: Asia, India, Chhattisgarh, Anandgoan (geographic coordinates: 21.9, 81.55); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: ; Moisture: annual precipitation: 1200 mm yr-1.",3.34,tonnes dry matter/ha,,,"Equations 2.14, 2.16, 2.27","Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",Peer-reviewed journal,TFI TSU
18589,525916,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-FL-2 - Land Converted to Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-2 - Land Converted to Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.B.1.b - Land Converted to Forest land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.5.b.i - Forest Land converted to Settlements
3.B.4.b - Land Converted to Wetlands
","CARBON DIOXIDE
",Biomass: root component (biomass_root),"Spatial boundaries: Asia, India, Chhattisgarh, Anandgoan (geographic coordinates: 21.9, 81.55); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: ; Moisture: annual precipitation: 1200 mm yr-1.",0.6,tonnes dry matter/ha,,,"Equations 2.14, 2.16","Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",Peer-reviewed journal,TFI TSU
18590,525917,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-FL-2 - Land Converted to Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-2 - Land Converted to Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.B.1.b - Land Converted to Forest land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.5.b.i - Forest Land converted to Settlements
3.B.4.b - Land Converted to Wetlands
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Total Biomass,"Spatial boundaries: Asia, India, Chhattisgarh, Anandgoan (geographic coordinates: 21.9, 81.55); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: ; Moisture: annual precipitation: 1200 mm yr-1.",3.94,tonnes dry matter/ha,,,"Equations 2.14, 2.16, 2.27","Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",Peer-reviewed journal,TFI TSU
18591,525918,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-FL-2 - Land Converted to Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-2 - Land Converted to Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.B.1.b - Land Converted to Forest land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.5.b.i - Forest Land converted to Settlements
3.B.4.b - Land Converted to Wetlands
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Aboveground Biomass (biomass_ag),"Spatial boundaries: Asia, India, Chhattisgarh, Anandgoan (geographic coordinates: 21.9, 81.55); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: ; Moisture: annual precipitation: 1200 mm yr-1.",5.24,tonnes dry matter/ha,,,"Equations 2.14, 2.16, 2.27","Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",Peer-reviewed journal,TFI TSU
18592,525919,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-FL-2 - Land Converted to Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-2 - Land Converted to Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.B.1.b - Land Converted to Forest land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.5.b.i - Forest Land converted to Settlements
3.B.4.b - Land Converted to Wetlands
","CARBON DIOXIDE
",Biomass: root component (biomass_root),"Spatial boundaries: Asia, India, Chhattisgarh, Anandgoan (geographic coordinates: 21.9, 81.55); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: ; Moisture: annual precipitation: 1200 mm yr-1.",1.35,tonnes dry matter/ha,,,"Equations 2.14, 2.16","Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",Peer-reviewed journal,TFI TSU
18593,525920,"5-CL-2 - Land Converted to Cropland
5-FL-1 - Forest Land Remaining Forest Land
5-FL-2 - Land Converted to Forest Land
5-GL-2 - Land Converted to Grassland
5-OL-2 - Land Converted to Other Land
5-SL-2 - Land Converted to Settlements
5-WL-2 - Land Converted to Wetlands
","3.B.2.b.i - Forest Land converted to Cropland
3.B.1.a - Forest land Remaining Forest land
3.B.1.b - Land Converted to Forest land
3.B.3.b.i - Forest Land converted to Grassland
3.B.6.b.i - Forest Land converted to Other Land
3.B.5.b.i - Forest Land converted to Settlements
3.B.4.b - Land Converted to Wetlands
","NITROGEN OXIDES (NO+NO2)
METHANE
CARBON MONOXIDE
CARBON DIOXIDE
NITROUS OXIDE
",Total Biomass,"Spatial boundaries: Asia, India, Chhattisgarh, Anandgoan (geographic coordinates: 21.9, 81.55); Climate: ; Ecological zone: Tropical dry forest; Temperature:  mean annual temperature: ; Moisture: annual precipitation: 1200 mm yr-1.",6.59,tonnes dry matter/ha,,,"Equations 2.14, 2.16, 2.27","Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",Peer-reviewed journal,TFI TSU
